topo	workload	sim_time_ms	pass1_ms	pass_avg_ms	reconfigs_trig	reconfigs_skip	retx	final_log
mixnet	01-dpsk-decode-64gpu-vol1	19.5747	0.511114	3.44528	0	232	0	/home/weihaoni/BTB-NCCL/log_batch_tmp/batch_260415_005920/01-dpsk-decode-64gpu-vol1__mixnet_OCS_0415_005924
fattree	01-dpsk-decode-64gpu-vol1	7.33026	0.552705	1.34804	0	0	0	/home/weihaoni/BTB-NCCL/log_batch_tmp/batch_260415_005920/01-dpsk-decode-64gpu-vol1__fattree_0415_010115
mixnet	02-dpsk-decode-128gpu-vol1000	42.0775	0.878602	7.4648	1	231	0	/home/weihaoni/BTB-NCCL/log_batch_tmp/batch_260415_005920/02-dpsk-decode-128gpu-vol1000__mixnet_OCS_0415_010309
fattree	02-dpsk-decode-128gpu-vol1000	13.3463	0.820302	2.43399	0	0	0	/home/weihaoni/BTB-NCCL/log_batch_tmp/batch_260415_005920/02-dpsk-decode-128gpu-vol1000__fattree_0415_010726
mixnet	03-dpsk-decode-128gpu-uniform	40.9522	0.833727	6.96694	1	231	0	/home/weihaoni/BTB-NCCL/log_batch_tmp/batch_260415_005920/03-dpsk-decode-128gpu-uniform__mixnet_OCS_0415_011158
fattree	03-dpsk-decode-128gpu-uniform	13.3091	0.818546	2.41731	0	0	0	/home/weihaoni/BTB-NCCL/log_batch_tmp/batch_260415_005920/03-dpsk-decode-128gpu-uniform__fattree_0415_011614
mixnet	04-dpsk-prefill-128gpu-vol4	2e+09	754.201	863.305	101	131	8	/home/weihaoni/BTB-NCCL/log_batch_tmp/batch_260415_005920/04-dpsk-prefill-128gpu-vol4__mixnet_OCS_0415_012047
fattree	04-dpsk-prefill-128gpu-vol4	1764.41	348.835	352.374	0	0	0	/home/weihaoni/BTB-NCCL/log_batch_tmp/batch_260415_005920/04-dpsk-prefill-128gpu-vol4__fattree_0415_020242
mixnet	05-qwen3moe-decode-128gpu-vol1000	2.00698	0.266506	0.38641	0	128	0	/home/weihaoni/BTB-NCCL/log_batch_tmp/batch_260415_005920/05-qwen3moe-decode-128gpu-vol1000__mixnet_OCS_0415_034458
fattree	05-qwen3moe-decode-128gpu-vol1000	2.20256	0.306319	0.425562	0	0	0	/home/weihaoni/BTB-NCCL/log_batch_tmp/batch_260415_005920/05-qwen3moe-decode-128gpu-vol1000__fattree_0415_034541
mixnet	06-mixtral-decode-64gpu-vol4	ERR	-	-	-	-	-	-
fattree	06-mixtral-decode-64gpu-vol4	ERR	-	-	-	-	-	-
mixnet	07-dpsk671-train-128gpu-vol1000	11923.7	90.0405	1947.02	1	15	190	/home/weihaoni/BTB-NCCL/log_batch_tmp/batch_260415_005920/07-dpsk671-train-128gpu-vol1000__mixnet_OCS_0415_034634
